city	first_name	last_name	display_name	zip	title	home_page	overview	name_suffix	uri	phone	state	street_address	research_areas	country	orcid	middle_name	name_prefix	email	types
			Ralph C. Williams						http://vivo.school.edu/individual/per-73d94d2ea488819ef237af44a9387ac8										thing;agent;person;bfo1;bfo2;bfo4
			Rhonda Cooper-Dehoff						http://vivo.school.edu/individual/per-b709943461f5a3dd8a30bee03fe5b5ea										uf;person;ufc;agent;thing;bfo1;fac;bfo2;bfo4
			Ronald G. Marks						http://vivo.school.edu/individual/per-7e04f1ce7c9cbe17820b5d9263d9150c										thing;agent;person;bfo1;bfo2;bfo4
			Ronald G. Thomas						http://vivo.school.edu/individual/per-fcb689e7530173d2fac8bcc9c174cd34										thing;agent;person;bfo1;bfo2;bfo4
			Sharon M. Dabrow						http://vivo.school.edu/individual/per-618e0420edec97278565af74d3b9cb50										thing;agent;person;bfo1;bfo2;bfo4
			Sheau-Huey Chiu						http://vivo.school.edu/individual/per-8d153fbc2119e3845fa6d9fdc0be9757										thing;agent;person;bfo1;bfo2;bfo4
			Stephen J. Ruberg						http://vivo.school.edu/individual/per-9142c800768e0d73ff7b9f12faa0f508										thing;agent;person;bfo1;bfo2;bfo4
			W.Bruce Yancey						http://vivo.school.edu/individual/per-befb96d0aafd5300589e2a6aad0f183f										thing;agent;person;bfo1;bfo2;bfo4
			William Cumming						http://vivo.school.edu/individual/per-c04b07a2a79e2ff453021661e6643d99										thing;agent;person;bfo1;bfo2;bfo4
	Homer	Willis	Willis, Homer						http://vivo.school.edu/individual/n2524										uf;thing;agent;person;bfo1;bfo2;bfo4;staff
